2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 10 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 10 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 10 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 10 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | EHRExtractor initialized
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 50 patient records...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 50 patient records
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   | Extracting 100 encounters...
2026-06-22 20:31:07 | INFO     | src.extractors.ehr_extractor   |   ✓ 100 encounter records
